m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAADBKABm,034560-87/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABn,034560-88/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABo,034560-89/02-001, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKABp,034560-60/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABq,034560-61/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABr,034560-62/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABs,034560-63/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABt,034560-66/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABu,034560-69/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAADBKABv,034560-72/02-003, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAAAP1AAO,024426-00/00-006, ,1,5.0,C6,5.0,,LK
AAAxbuAAEAAAAP1AAP,024426-00/00-007, ,1,6.0,GA,6.0,,LA
AAAxbuAAEAAAAP1AAQ,024426-00/00-008,BAW,1,4.0,GA,,4.0,LA
AAAxbuAAEAAAAP1AAR,024426-00/00-008,ES61,1,8.0,GA,,8.0,LA
AAAxbuAAEAAAAP1AAS,024426-00/00-008,ES71,1,12.0,GA,,12.0,LA
AAAxbuAAEAAAAP1AAT,024426-00/00-009,ES71,1,12.0,GA,,12.0,LA
AAAxbuAAEAAAAP1AAU,024426-00/00-009,ES75,1,16.0,GA,,16.0,LA
AAAxbuAAEAAAAP1AAV,024426-00/00-010, ,1,10.0,GA,6.0,,LA
AAAxbuAAEAAAAP1AAW,024426-00/02-001,GR050,1,1.0,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAX,024426-00/02-001,GR052,2,1.5,KH,900.0,900.0,LH
AAAxbuAAEAAAAP1AAY,024426-00/02-001,GR125,3,2.0,KH,1200.0,1200.0,LH
AAAxbuAAEAAAAP1AAZ,024426-00/03-001,GR050,1,0.6,KH,600.0,,LH
AAAxbuAAEAAAAP1AAa,024426-00/03-001,GR052,2,0.9,KH,900.0,,LH
AAAxbuAAEAAAAP1AAb,024426-00/03-001,GR125,3,1.2,KH,1200.0,,LH
AAAxbuAAEAAAAP1AAc,024426-00/03-002,GR050,1,1.0,KH,600.0,,LH
AAAxbuAAEAAAAP1AAd,024426-00/03-002,GR052,2,1.5,KH,900.0,,LH
AAAxbuAAEAAAAP1AAe,024426-00/03-002,GR125,3,2.0,KH,1200.0,,LH
AAAxbuAAEAAAAP1AAf,024426-00/04-001, ,1,0.6,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAg,024426-00/04-003, ,1,0.6,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAh,024426-00/04-004, ,1,1.0,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAi,024426-00/04-005, ,1,0.6,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAj,024426-00/04-006, ,1,1.0,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAk,024426-00/04-007,GRL050,1,0.6,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAl,024426-00/04-007,GRL125,2,0.9,KH,900.0,900.0,LH
AAAxbuAAEAAAAP1AAm,024426-00/04-008,GRL050,1,1.0,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAn,024426-00/04-008,GRL125,2,1.5,KH,900.0,900.0,LH
AAAxbuAAEAAAAP1AAo,024426-00/04-009,GR050,1,0.6,KH,600.0,600.0,LH
AAAxbuAAEAAAAP1AAp,024426-00/04-009,GR052,2,0.9,KH,900.0,900.0,LH
AAAxbuAAEAAAAP1AAq,024426-00/04-009,GR125,3,1.2,KH,1200.0,1200.0,LH
AAAxbuAAEAAAAQBAAl,007547-00/09-001, ,1,3.0,KH,400.0,600.0,LH
AAAxbuAAEAAAAQBAAm,007547-00/09-002, ,1,3.0,KH,400.0,600.0,LH
AAAxbuAAEAAAAQBAAn,007547-00/13-001, ,1,1.5,K5,250.0,500.0,L5
AAAxbuAAEAAAAQBAAo,007547-00/13-002, ,1,1.5,K5,250.0,500.0,L5
AAAxbuAAEAAAAQBAAp,007547-00/14-001, ,1,1.5,K5,250.0,500.0,L5
AAAxbuAAEAAAAQBAAq,007547-00/15-001, ,1,3.0,KH,600.0,800.0,LH
AAAxbuAAEAAAAQBAAr,007547-00/16-001,GR050,1,1.5,KH,750.0,1000.0,LH
AAAxbuAAEAAAAQBAAs,007547-00/16-001,GR052,2,2.25,KH,1200.0,1500.0,LH
AAAxbuAAEAAAAQBAAt,007547-00/16-001,GR125,3,3.0,KH,1500.0,2000.0,LH
AAAxbuAAEAAAAQBAAu,007547-00/16-002,GR050,1,1.5,KH,600.0,,LH
AAAxbuAAEAAAAQBAAv,007547-00/16-002,GR052,2,2.25,KH,900.0,,LH
AAAxbuAAEAAAAQBAAw,007547-00/16-002,GR125,3,3.0,KH,1200.0,,LH
AAAxbuAAEAAAAQBAAx,007547-00/17-001, ,1,3.0,KH,600.0,800.0,LH
AAAxbuAAEAAAAQBAAy,007547-00/17-002, ,1,3.0,KH,600.0,800.0,LH
AAAxbuAAEAAAAQBAAz,007547-00/18-001, ,1,3.0,KH,600.0,800.0,LH
AAAxbuAAEAAAAQBAA0,00A770-00/00-001,AMK,2,306.0,LH,,,
